ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
176,CSJ LA LIBERTAD - VIRU,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,55
177,CSJ LA LIBERTAD - VIRU,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,599
178,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,4976
179,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,574
180,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,845
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
181,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,832
182,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,6482
183,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,852
184,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,725
185,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,508
186,CSJ LAMBAYEQUE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,5141
187,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,55
188,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,32
189,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,235
190,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,11
191,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,148
192,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1124
193,CSJ LIMA - ANTICORRUPCION,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,93
194,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,481
195,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,5194
196,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,951
197,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,559
198,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,1055
199,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,6099
200,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,352
201,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,4081
202,CSJ LIMA - Penal,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,780
203,CSJ Lima Este,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,210
